demand_id,Title,Place,Text,Year,YEAR,DemandNum,PageNum,filename_updated,DocTitle,Author,OrgType,NumSign,AuthSignType,DocSignAction,Demographic,YearOrder,details,CodeList
69,1987 an-audacious-faith.pdf,Page 1: 55-1448,"The Task Force on Afro-American Affairs recommends that the overall mission of the Office of Afro-American be redefined in accordance with the fundamental strengths of the office and the needs articulated by many black students' and alumni. Most basically. it should be the mission of the Office of Afro-American Affairs to help provide a supportive environment for Afro-American students at the University of Virginia and to enhance the sensitivity of the larger community to the needs, interests. and culture of Afro-American students. The Task Force views this mission as one that will help provide the counseling and social and cultural l.nfrastructure necessary to enhance the prospects for success of black students at the University and to improve retention. More specifically. the following responsibilities should flow to the office and to its senior administrator. the Dean of Afro-Amedcan Affairs·: (1) provision of personal counseling to students who desire such services and direction of students in need of additional services to appropriate University resources; (2) provision of information and advice to blacK student organizations; (3) prevention and resolution of potential inter-racial tensions at the University by helping to open communication channels between students. faculty. and administrators; (4) education of the University community regarding Afro-American",1987,1987,17,1,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Mentorship + Assistance + Training #Office Of African American Affairs
70,1987 an-audacious-faith.pdf,Page 1: 82-318,"To alleviate this problem, the Task Force recommends that the program be allotted the funds to hire at least one instructor or lecturer--perhaps an advanced graduate student specializing in Afro-American Studies--to teach the course(s).",1987,1987,18,1,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Financial Aid And Financing
71,1987 an-audacious-faith.pdf,Page 1: 122-394,STUDY OF THE APPLICATION OF THE HONOR SYSTEM TO DETERMINE IF IT PROVIDES EQUAL TREATMENT TO ALL RACIAL GROUPS Objective: To address straightforwardly the perception of many black students that the Honor System has not been evenhanded in its treatment of all racial groups.,1987,1987,19,1,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Data Collection And Transparency #Research Or Coursework #School Climate
72,1987 an-audacious-faith.pdf,Page 1: 140-977,"The Task Force has been reminded that blacK students' feelings of loneliness arid isolation in Charlottesville are increased by the utter lack of radio programming of interest to them. If this is perhaps not the most critical problem facing black. students it at least has the virtue that it seems solvable; let the program directors of WTJU and WUVA reflect on their playlist with the idea that it should reach as many members of the student body as possible. We encourage the program directors of these two stations, so closely identified with the University of Virginia. to form an advisory group from the black population to advise them on effective programming for black listeners. We would encourage those radio stations in the Charlottesville area not identified with the University to do likewise.",1987,1987,20,1,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Diversity In Student Leadership
73,1987 an-audacious-faith.pdf,Page 1: 170-1096,"ENHANCEMENT OF ACTIVITIES TO INCREASE THE INTEREST OF BLACK STUDENTS IN ATTENDING THE UNIVERSITY OF VIRGINIA Objective: To increase the number of black students attending the University of Virginia. Strategic The need to increase the number of black undergraduates at the University of Virginia must be made clear to all of the University community. As the flagship of the Commonwealth's system of higher education. this institution must strive to reflect the social composition of the citizenry that supports it. As a white professor reminded participants at the Task Force's open faculty forum, a forward-looking University must do all it can to work against the social and racial polarization that endangers 1t and that is likely to worsen with demographic change in the de.cades ahead. unless al.l segments of our soci ety receive the educational opportunities that they merit:",1987,1987,21,2,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Black Students
74,1987 an-audacious-faith.pdf,Page 1: 214-548,ESTABLISHMENT OF THE.POSITION OF ADVISOR TO THE PRESIDENT ON MINORITY AFFAIRS Obiective: To ensure that theUniversity's overriding policy objective of promoting genuine integration remains at the forefront for the institution's senior administrative officers and to provide ongoing advice on how best to work toward that objective.,1987,1987,22,2,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Adding Courses #Mentorship + Assistance + Training #School Climate
75,1987 an-audacious-faith.pdf,Page 1: 223-652,ENHANCEMENT OF THE AFRO-AMERICAN AND AFRICAN STUDIES PROGRAM Objectives: To affirm the significance of the scholarly examination of the African and Afro-American experiences; to understanding of the African and Afro-American perspectives to a broad section of the community; and to a ready source of expert advice on scholarly materials for other branches of the University and for secondary school systems.,1987,1987,23,2,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Financial Aid And Financing #Inclusive Anti Racist Curriculum Programs
76,1987 an-audacious-faith.pdf,Page 1: 253-1279,The Task Force on Afro-American Affairs agrees with the Reaffirmation Committee. but would add the Board of Vi.sitors as an additional voice that must demonstrate unequivocal leadership in endorsing and forwarding a policy of genuine integration. Consequently. the Task Force makes the following policy recommendation: THE PRESIDENT'. AND THE BOARD OF VISITORS SHOULD JOINTLY DECLARE THAT IT IS THE ACTIVE POLICY OF THE UNIVERSITY OF VIRGINIA TO WELCOME BLACKS ON AN EQUAL BASIS FULL PARTICIPATION AT ALL LEVELS IN. THE MAINStREAM OF ALL UNIVERSITY ENDEAVORS. The TaskForce believes that such a policy statement should be issued by the President and Board of Visitors without delay. The leadership of this institution must assert its unflagging commitment to a policy of. genuine integration if the 21 spectfic. action-oriented recommendations that follow in the body of this report are to be implemented. Furthermore. concrete steps necessary to achieve this policy must be begun. Words by themselves will be insufficient;,1987,1987,24,2,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Statements From University Leadership
77,1987 an-audacious-faith.pdf,Page 1: 267-1450,"the Task Force recommends that University designate 1988-89 as a ""Theme Year"" for the consideration of this vital issue on an institution-wide basis. We encourage the participation of all academic departments and all student organizations and publications in Theme Year events. For example, Thoughtlines (the UVA journal of opinion), Oculus, The Advocate, The Declaration, The Cavalier Daily, The University Journal, Seasons, the Monroe Hill College Newsletter, the various school student publications--in short, the whole panopoly of university publications dealing with politics and philosophy in the broadest sense--can be encouraged to address this issue. Consistent with the Theme Year, the Jefferson Uterary and Debating Society and other organizations might take affirmative action as a topic for continuing discussion. We also recommend to all bodies that sponsor visiting lecturers, such as the University Committee on Special Lectures, the Women Artists and Scholars Series, the Miller Center, the faculty forum, the Rushton lectures, etc., that affirmative action would be a significant topic, and knowledgable lecturers on this topic would be welcome.",1987,1987,25,2,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Current Iniatives And Working Groups
78,1987 an-audacious-faith.pdf,Page 1: 279-1005,"A second recommendation draws on the cooperative spirit of the first. A formal and ongoing Artist and Lecture Series in Afro-American and African Culture jointly co-sponsored by the program and office would, most importantly, provide a superb intellectual and educational experience for the University. In addition to single or very short-term events. this series should also coordinate and help to sponsor with appropriate university departments or programs a scholar-or artist-in-residence for a more extended term. For example. the Drama Department in conjunction with this series could bring in a black playwright. such as Amiri Baraka. for a semester or a year to teach, offer workshops, and direct a major production",1987,1987,26,2,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Adding Courses
79,1987 an-audacious-faith.pdf,Page 1: 292-563,The TasK Force suggests that the President articulate the institutional commitment necessary to initiate an incentive approach to encourage recruitment of black faculty. The policy should then be administered by the Provost and the Vice President for Health Affairs.,1987,1987,27,2,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Minority Faculty Staff And Leadership Recruitment #Statements From University Leadership
80,1987 an-audacious-faith.pdf,Page 1: 319-1044,"Another recommendation flowing primarily from student concern is the need to implement a thorough, critical, and ongoing review process for the entire program. Overseen by the students and faculty who are members of the program's Steering Committee, such an internal mechanism would allow all students and faculty associated with the program to make suggestions and create a sense of greater involvement. The recent conference, ""Black Studies at UVA: A Reflective Celebrationll (held on April 10, 1987),-gave all concerned an obviously much needed public forum to engage in this kind of activity. This""recommendation. however, should not be construed as calling for a public review, rather an institutionalized in-house one.",1987,1987,28,2,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Data Collection And Transparency #Diversity In Student Leadership
81,1987 an-audacious-faith.pdf,Page 1: 320-677,"We urge that the Culture Fest. first organized for Parents' Weekend in fall 1986. be made a continuing feature of the University calendar and that a portion; of the'expenses of that event be guaranteed by the University. perhaps as line items in the budgets of tha International Office, the Luther P; Jackson Cultural Center and the Dean of Students Office.",1987,1987,29,2,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Current Iniatives And Working Groups
82,1987 an-audacious-faith.pdf,Page 1: 342-1154,ENHANCEMENT OF EFFORTS TO RETAIN BLACK FACULTY Objective: To retai n bl ack faculty members who have been recruited. Strategic Rationale/Program Description: The successful recruitment of black scholars will be of little lasting benefit unless the institution undertakes strenuous efforts to retain them. Over tne past several years. the University has experienced considerable difficulty in retaining blacks within its faculty ranks and in building a stable nucleus of black faculty. In some cases. black instructors have been hired on short-term. non-tenure-track basis with no prospect for permanent employment. Other black junior faculty members held positions but have perceived the likelihood of receiving a favorable tenure review as so doubtful that they have chosen,1987,1987,30,2,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Minority Faculty Retention
83,1987 an-audacious-faith.pdf,Page 1: 393-994,"It is therefore incumbent upon the University to provide the necessary resources and support structure to enable all students whom lt admits and whom it is charged with educating to have the opportunity to succeed. Consequently, the development and maintenance of an effective academic support system must be a major responsibility of all faculty members and administrators at the University of Virginia. Such a system begins in the classroom and extends to a series of high-quality special services that the University should willingly provide for those students who may have particular needs.",1987,1987,31,3,1987 an-audacious-faith.pdf,AN AUDACIOUS FAITH,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,16 Committee members Composed for UVA President and Board of Visitors,#Minority Student Recruitment #School Climate
