Alumni,APIDA Students,Black Students,Faculty/Staff,Latinx Students,Students,University Office,Code,Demographic,RowSum
1,3,3,3,3,3,3,Minority Faculty / Staff Recruitment and Retention,Faculty/Staff,19
1,3,3,3,3,3,3,Minority Faculty / Staff Recruitment and Retention,Latinx Students,19
1,3,5,3,3,5,5,Minority Faculty / Staff Recruitment and Retention,Students,25
1,3,17,3,3,5,59,Minority Faculty / Staff Recruitment and Retention,University Office,91
1,0,1,1,1,1,1,Minority Student Recruitment,Alumni,6
0,0,0,0,0,0,0,Minority Student Recruitment,APIDA Students,0
1,0,20,3,3,5,20,Minority Student Recruitment,Black Students,52
1,0,3,3,3,3,3,Minority Student Recruitment,Faculty/Staff,16
1,0,3,3,3,3,3,Minority Student Recruitment,Latinx Students,16
1,0,5,3,3,5,5,Minority Student Recruitment,Students,22
1,0,20,3,3,5,35,Minority Student Recruitment,University Office,67
0,0,0,0,0,0,0,Reparations,Alumni,0
0,0,0,0,0,0,0,Reparations,APIDA Students,0
0,0,0,0,0,0,0,Reparations,Black Students,0
0,0,0,0,0,0,0,Reparations,Faculty/Staff,0
0,0,0,0,0,0,0,Reparations,Latinx Students,0
0,0,0,0,0,2,1,Reparations,Students,3
0,0,0,0,0,1,1,Reparations,University Office,2
3,2,3,3,3,3,3,Research or Coursework,Alumni,20
2,2,2,2,2,2,2,Research or Coursework,APIDA Students,14
3,2,28,5,4,8,28,Research or Coursework,Black Students,78
3,2,5,5,4,5,5,Research or Coursework,Faculty/Staff,29
3,2,4,4,4,4,4,Research or Coursework,Latinx Students,25
3,2,8,5,4,8,8,Research or Coursework,Students,38
3,2,28,5,4,8,34,Research or Coursework,University Office,84
1,0,1,1,1,1,1,School Climate,Alumni,6
0,0,0,0,0,0,0,School Climate,APIDA Students,0
1,0,15,3,7,8,15,School Climate,Black Students,49
1,0,3,3,3,3,3,School Climate,Faculty/Staff,16
1,0,7,3,7,7,7,School Climate,Latinx Students,32
1,0,8,3,7,8,8,School Climate,Students,35
1,0,15,3,7,8,76,School Climate,University Office,110
0,0,0,0,0,0,0,Spaces and Places,Alumni,0
0,1,1,1,1,1,1,Spaces and Places,APIDA Students,6
0,1,7,6,1,7,7,Spaces and Places,Black Students,29
0,1,6,6,1,6,6,Spaces and Places,Faculty/Staff,26
0,1,1,1,1,1,1,Spaces and Places,Latinx Students,6
0,1,7,6,1,16,16,Spaces and Places,Students,47
0,1,7,6,1,16,20,Spaces and Places,University Office,51
9,3,9,8,9,7,9,Total,Alumni,54
3,9,9,6,9,9,9,Total,APIDA Students,54
9,9,153,25,31,44,137,Total,Black Students,408
8,6,25,25,16,21,24,Total,Faculty/Staff,125
9,9,31,16,31,22,31,Total,Latinx Students,149
7,9,44,21,22,58,48,Total,Students,209
9,9,137,24,31,48,330,Total,University Office,588
