YEAR,Title,Code,Count,filename_updated,DocTitle,Author,OrgType,NumSign,AuthSignType,DocSignAction,Demographic,YearOrder,docid,details
1987,1987 an-audacious-faith.pdf,Minority Student Recruitment,16,1987 an-audacious-faith.pdf,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,2,16 Committee members Composed for UVA President and Board of Visitors
1987,1987 an-audacious-faith.pdf,Reparations,0,1987 an-audacious-faith.pdf,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,2,16 Committee members Composed for UVA President and Board of Visitors
1987,1987 an-audacious-faith.pdf,Research or Coursework,9,1987 an-audacious-faith.pdf,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,2,16 Committee members Composed for UVA President and Board of Visitors
1987,1987 an-audacious-faith.pdf,School Climate,24,1987 an-audacious-faith.pdf,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,2,16 Committee members Composed for UVA President and Board of Visitors
1987,1987 an-audacious-faith.pdf,Spaces and Places,0,1987 an-audacious-faith.pdf,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office,1,2,16 Committee members Composed for UVA President and Board of Visitors
1996,Muddy Floor Report 1996.doc,Abolition/ Defunding,0,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,3,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,Community Labor or Partnership,0,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,3,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,Current Iniatives and Working Groups,0,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,3,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,Data Collection and Transparency,3,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,3,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,Diversity in Student Leadership,0,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,3,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,Financial Aid and Financing,0,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,3,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,Living Wage,0,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,3,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,Minority Faculty / Staff Recruitment and Retention,5,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,3,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,Minority Student Recruitment,0,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,3,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,Reparations,0,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,3,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,Research or Coursework,0,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,3,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,School Climate,2,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,3,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,Spaces and Places,0,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,3,Study completed in response to numerous complaints of discrimination in the workplace
2001,DiversityRoundtables.pdf,Abolition/ Defunding,0,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,4,Document for President Casteen
2001,DiversityRoundtables.pdf,Community Labor or Partnership,2,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,4,Document for President Casteen
2001,DiversityRoundtables.pdf,Current Iniatives and Working Groups,0,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,4,Document for President Casteen
2001,DiversityRoundtables.pdf,Data Collection and Transparency,11,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,4,Document for President Casteen
2001,DiversityRoundtables.pdf,Diversity in Student Leadership,3,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,4,Document for President Casteen
2001,DiversityRoundtables.pdf,Financial Aid and Financing,7,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,4,Document for President Casteen
2001,DiversityRoundtables.pdf,Living Wage,0,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,4,Document for President Casteen
2001,DiversityRoundtables.pdf,Minority Faculty / Staff Recruitment and Retention,24,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,4,Document for President Casteen
2001,DiversityRoundtables.pdf,Minority Student Recruitment,3,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,4,Document for President Casteen
2001,DiversityRoundtables.pdf,Reparations,0,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,4,Document for President Casteen
2001,DiversityRoundtables.pdf,Research or Coursework,3,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,4,Document for President Casteen
2001,DiversityRoundtables.pdf,School Climate,17,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,4,Document for President Casteen
2001,DiversityRoundtables.pdf,Spaces and Places,11,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,4,Document for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Abolition/ Defunding,0,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,5,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Community Labor or Partnership,2,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,5,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Current Iniatives and Working Groups,3,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,5,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Data Collection and Transparency,4,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,5,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Diversity in Student Leadership,0,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,5,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Financial Aid and Financing,1,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,5,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Living Wage,1,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,5,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Minority Faculty / Staff Recruitment and Retention,7,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,5,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Minority Student Recruitment,4,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,5,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Reparations,0,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,5,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Research or Coursework,4,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,5,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,School Climate,7,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,5,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Spaces and Places,1,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,5,Report for President Casteen
2007,Audacious Faith II.doc,Abolition/ Defunding,0,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,6,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Community Labor or Partnership,11,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,6,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Current Iniatives and Working Groups,5,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,6,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Data Collection and Transparency,2,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,6,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Diversity in Student Leadership,0,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,6,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Financial Aid and Financing,6,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,6,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Living Wage,0,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,6,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Minority Faculty / Staff Recruitment and Retention,7,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,6,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Minority Student Recruitment,11,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,6,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Reparations,0,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,6,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Research or Coursework,8,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,6,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,School Climate,1,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,6,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Spaces and Places,2,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,6,12 Student Committee Members & 12 Organizations Signed
2015,Towards A Better University.pdf,Abolition/ Defunding,3,Towards A Better University.pdf,Towards a Better University,Black Student Alliance,Student Group,30,Black Student Organizations,Endorsed,Black Students,1,7,30 Black Student Organizations Endorsed
2015,Towards A Better University.pdf,Community Labor or Partnership,1,Towards A Better University.pdf,Towards a Better University,Black Student Alliance,Student Group,30,Black Student Organizations,Endorsed,Black Students,1,7,30 Black Student Organizations Endorsed
2015,Towards A Better University.pdf,Current Iniatives and Working Groups,17,Towards A Better University.pdf,Towards a Better University,Black Student Alliance,Student Group,30,Black Student Organizations,Endorsed,Black Students,1,7,30 Black Student Organizations Endorsed
2015,Towards A Better University.pdf,Data Collection and Transparency,3,Towards A Better University.pdf,Towards a Better University,Black Student Alliance,Student Group,30,Black Student Organizations,Endorsed,Black Students,1,7,30 Black Student Organizations Endorsed
2015,Towards A Better University.pdf,Diversity in Student Leadership,2,Towards A Better University.pdf,Towards a Better University,Black Student Alliance,Student Group,30,Black Student Organizations,Endorsed,Black Students,1,7,30 Black Student Organizations Endorsed
2015,Towards A Better University.pdf,Financial Aid and Financing,3,Towards A Better University.pdf,Towards a Better University,Black Student Alliance,Student Group,30,Black Student Organizations,Endorsed,Black Students,1,7,30 Black Student Organizations Endorsed
2015,Towards A Better University.pdf,Living Wage,3,Towards A Better University.pdf,Towards a Better University,Black Student Alliance,Student Group,30,Black Student Organizations,Endorsed,Black Students,1,7,30 Black Student Organizations Endorsed
2015,Towards A Better University.pdf,Minority Faculty / Staff Recruitment and Retention,7,Towards A Better University.pdf,Towards a Better University,Black Student Alliance,Student Group,30,Black Student Organizations,Endorsed,Black Students,1,7,30 Black Student Organizations Endorsed
2015,Towards A Better University.pdf,Minority Student Recruitment,6,Towards A Better University.pdf,Towards a Better University,Black Student Alliance,Student Group,30,Black Student Organizations,Endorsed,Black Students,1,7,30 Black Student Organizations Endorsed
2015,Towards A Better University.pdf,Reparations,0,Towards A Better University.pdf,Towards a Better University,Black Student Alliance,Student Group,30,Black Student Organizations,Endorsed,Black Students,1,7,30 Black Student Organizations Endorsed
2015,Towards A Better University.pdf,Research or Coursework,9,Towards A Better University.pdf,Towards a Better University,Black Student Alliance,Student Group,30,Black Student Organizations,Endorsed,Black Students,1,7,30 Black Student Organizations Endorsed
2015,Towards A Better University.pdf,School Climate,12,Towards A Better University.pdf,Towards a Better University,Black Student Alliance,Student Group,30,Black Student Organizations,Endorsed,Black Students,1,7,30 Black Student Organizations Endorsed
2015,Towards A Better University.pdf,Spaces and Places,1,Towards A Better University.pdf,Towards a Better University,Black Student Alliance,Student Group,30,Black Student Organizations,Endorsed,Black Students,1,7,30 Black Student Organizations Endorsed
2015,UVA Alumni for Change Letter to President Sullivan.pdf,Abolition/ Defunding,0,UVA Alumni for Change Letter to President Sullivan.pdf,Letter to President Sullivan,UVA Alumni for Change,,,,Letter sent to President Sullivan,Alumni,2,8,Letter sent to President Sullivan
2015,UVA Alumni for Change Letter to President Sullivan.pdf,Community Labor or Partnership,0,UVA Alumni for Change Letter to President Sullivan.pdf,Letter to President Sullivan,UVA Alumni for Change,,,,Letter sent to President Sullivan,Alumni,2,8,Letter sent to President Sullivan
2015,UVA Alumni for Change Letter to President Sullivan.pdf,Current Iniatives and Working Groups,2,UVA Alumni for Change Letter to President Sullivan.pdf,Letter to President Sullivan,UVA Alumni for Change,,,,Letter sent to President Sullivan,Alumni,2,8,Letter sent to President Sullivan
2015,UVA Alumni for Change Letter to President Sullivan.pdf,Data Collection and Transparency,0,UVA Alumni for Change Letter to President Sullivan.pdf,Letter to President Sullivan,UVA Alumni for Change,,,,Letter sent to President Sullivan,Alumni,2,8,Letter sent to President Sullivan
2015,UVA Alumni for Change Letter to President Sullivan.pdf,Diversity in Student Leadership,0,UVA Alumni for Change Letter to President Sullivan.pdf,Letter to President Sullivan,UVA Alumni for Change,,,,Letter sent to President Sullivan,Alumni,2,8,Letter sent to President Sullivan
2015,UVA Alumni for Change Letter to President Sullivan.pdf,Financial Aid and Financing,1,UVA Alumni for Change Letter to President Sullivan.pdf,Letter to President Sullivan,UVA Alumni for Change,,,,Letter sent to President Sullivan,Alumni,2,8,Letter sent to President Sullivan
2015,UVA Alumni for Change Letter to President Sullivan.pdf,Living Wage,0,UVA Alumni for Change Letter to President Sullivan.pdf,Letter to President Sullivan,UVA Alumni for Change,,,,Letter sent to President Sullivan,Alumni,2,8,Letter sent to President Sullivan
2015,UVA Alumni for Change Letter to President Sullivan.pdf,Minority Faculty / Staff Recruitment and Retention,1,UVA Alumni for Change Letter to President Sullivan.pdf,Letter to President Sullivan,UVA Alumni for Change,,,,Letter sent to President Sullivan,Alumni,2,8,Letter sent to President Sullivan
2015,UVA Alumni for Change Letter to President Sullivan.pdf,Minority Student Recruitment,1,UVA Alumni for Change Letter to President Sullivan.pdf,Letter to President Sullivan,UVA Alumni for Change,,,,Letter sent to President Sullivan,Alumni,2,8,Letter sent to President Sullivan
2015,UVA Alumni for Change Letter to President Sullivan.pdf,Reparations,0,UVA Alumni for Change Letter to President Sullivan.pdf,Letter to President Sullivan,UVA Alumni for Change,,,,Letter sent to President Sullivan,Alumni,2,8,Letter sent to President Sullivan
2015,UVA Alumni for Change Letter to President Sullivan.pdf,Research or Coursework,3,UVA Alumni for Change Letter to President Sullivan.pdf,Letter to President Sullivan,UVA Alumni for Change,,,,Letter sent to President Sullivan,Alumni,2,8,Letter sent to President Sullivan
2015,UVA Alumni for Change Letter to President Sullivan.pdf,School Climate,1,UVA Alumni for Change Letter to President Sullivan.pdf,Letter to President Sullivan,UVA Alumni for Change,,,,Letter sent to President Sullivan,Alumni,2,8,Letter sent to President Sullivan
2015,UVA Alumni for Change Letter to President Sullivan.pdf,Spaces and Places,0,UVA Alumni for Change Letter to President Sullivan.pdf,Letter to President Sullivan,UVA Alumni for Change,,,,Letter sent to President Sullivan,Alumni,2,8,Letter sent to President Sullivan
2015,Culture Working Group Exec. Summary and Recommendations FINAL.pdf,Abolition/ Defunding,0,Culture Working Group Exec. Summary and Recommendations FINAL.pdf,Report to Committee on University Climate and Culture,Culture Working Group,Faculty Group,,,Report for President Sullivan,University Office,3,9,Report for President Sullivan
2015,Culture Working Group Exec. Summary and Recommendations FINAL.pdf,Community Labor or Partnership,0,Culture Working Group Exec. Summary and Recommendations FINAL.pdf,Report to Committee on University Climate and Culture,Culture Working Group,Faculty Group,,,Report for President Sullivan,University Office,3,9,Report for President Sullivan
2015,Culture Working Group Exec. Summary and Recommendations FINAL.pdf,Current Iniatives and Working Groups,2,Culture Working Group Exec. Summary and Recommendations FINAL.pdf,Report to Committee on University Climate and Culture,Culture Working Group,Faculty Group,,,Report for President Sullivan,University Office,3,9,Report for President Sullivan
2015,Culture Working Group Exec. Summary and Recommendations FINAL.pdf,Data Collection and Transparency,2,Culture Working Group Exec. Summary and Recommendations FINAL.pdf,Report to Committee on University Climate and Culture,Culture Working Group,Faculty Group,,,Report for President Sullivan,University Office,3,9,Report for President Sullivan
2015,Culture Working Group Exec. Summary and Recommendations FINAL.pdf,Diversity in Student Leadership,2,Culture Working Group Exec. Summary and Recommendations FINAL.pdf,Report to Committee on University Climate and Culture,Culture Working Group,Faculty Group,,,Report for President Sullivan,University Office,3,9,Report for President Sullivan
