code,feature,chi2,freq,source,order,count,max_freq,code_feature,code_color
Current Initiatives,Jackson,45.88718213122277,29,key,4,10,34,Current Initiatives and Working GroupsJackson,Current Initiatives and Working Groups
Current Initiatives,,0,0,key,11,0,34,Current Initiatives and Working Groups,Current Initiatives and Working Groups
Current Initiatives,,0,0,key,12,0,34,Current Initiatives and Working Groups,Current Initiatives and Working Groups
Data Collection and Transparency,System,23.735361528728063,100,key,8,13,13,Data Collection and TransparencySystem,Data Collection and Transparency
Data Collection and Transparency,Datum,77.41892367824002,85,key,1,11,13,Data Collection and TransparencyDatum,Data Collection and Transparency
Data Collection and Transparency,Report,36.564661438390374,85,key,3,11,13,Data Collection and TransparencyReport,Data Collection and Transparency
Data Collection and Transparency,Review,38.316798110709044,77,key,2,10,13,Data Collection and TransparencyReview,Data Collection and Transparency
Data Collection and Transparency,Determine,32.04284462987883,54,key,5,7,13,Data Collection and TransparencyDetermine,Data Collection and Transparency
Data Collection and Transparency,Employment,28.6449234671064,46,key,6,6,13,Data Collection and TransparencyEmployment,Data Collection and Transparency
Data Collection and Transparency,Business,28.6449234671064,46,key,7,6,13,Data Collection and TransparencyBusiness,Data Collection and Transparency
Data Collection and Transparency,Performance,33.90680756998902,38,key,4,5,13,Data Collection and TransparencyPerformance,Data Collection and Transparency
Data Collection and Transparency,Category,22.709008794917697,31,key,9,4,13,Data Collection and TransparencyCategory,Data Collection and Transparency
Data Collection and Transparency,Exit,22.709008794917697,31,key,10,4,13,Data Collection and TransparencyExit,Data Collection and Transparency
Data Collection and Transparency,,0,0,key,11,0,13,Data Collection and Transparency,Data Collection and Transparency
Data Collection and Transparency,,0,0,key,12,0,13,Data Collection and Transparency,Data Collection and Transparency
Diversity in Student Leadership,Committee,39.45326810389159,100,key,5,13,13,Diversity in Student LeadershipCommittee,Diversity in Student Leadership
Diversity in Student Leadership,Three,105.29066393225051,54,key,1,7,13,Diversity in Student LeadershipThree,Diversity in Student Leadership
Diversity in Student Leadership,Advisory,30.24922140220544,38,key,10,5,13,Diversity in Student LeadershipAdvisory,Diversity in Student Leadership
Diversity in Student Leadership,Response,46.91807339117515,31,key,3,4,13,Diversity in Student LeadershipResponse,Diversity in Student Leadership
Diversity in Student Leadership,Covid,59.108633144733645,23,key,2,3,13,Diversity in Student LeadershipCovid,Diversity in Student Leadership
Diversity in Student Leadership,Committees,43.100705061470194,23,key,4,3,13,Diversity in Student LeadershipCommittees,Diversity in Student Leadership
Diversity in Student Leadership,Judiciary,33.509763994488246,23,key,6,3,13,Diversity in Student LeadershipJudiciary,Diversity in Student Leadership
Diversity in Student Leadership,Radio,31.61991723695622,15,key,7,2,13,Diversity in Student LeadershipRadio,Diversity in Student Leadership
Diversity in Student Leadership,Station,31.61991723695622,15,key,8,2,13,Diversity in Student LeadershipStation,Diversity in Student Leadership
Diversity in Student Leadership,Aug,31.61991723695622,15,key,9,2,13,Diversity in Student LeadershipAug,Diversity in Student Leadership
Diversity in Student Leadership,,0,0,key,11,0,13,Diversity in Student Leadership,Diversity in Student Leadership
Diversity in Student Leadership,,0,0,key,12,0,13,Diversity in Student Leadership,Diversity in Student Leadership
Financial Aid and Financing,Support,31.30570709176339,100,key,4,29,29,Financial Aid and FinancingSupport,Financial Aid and Financing
Financial Aid and Financing,Funding,49.1612248361924,72,key,1,21,29,Financial Aid and FinancingFunding,Financial Aid and Financing
Financial Aid and Financing,Graduate,24.051958075845228,72,key,5,21,29,Financial Aid and FinancingGraduate,Financial Aid and Financing
Financial Aid and Financing,Financial,39.3193209034726,55,key,2,16,29,Financial Aid and FinancingFinancial,Financial Aid and Financing
Financial Aid and Financing,Scholarship,34.51682702829677,48,key,3,14,29,Financial Aid and FinancingScholarship,Financial Aid and Financing
Financial Aid and Financing,Aid,22.546606204152074,31,key,6,9,29,Financial Aid and FinancingAid,Financial Aid and Financing
Financial Aid and Financing,Grant,21.392401095571195,24,key,7,7,29,Financial Aid and FinancingGrant,Financial Aid and Financing
Financial Aid and Financing,Tuition,19.47846298737174,24,key,8,7,29,Financial Aid and FinancingTuition,Financial Aid and Financing
Financial Aid and Financing,Loan,17.78740343790369,24,key,10,7,29,Financial Aid and FinancingLoan,Financial Aid and Financing
Financial Aid and Financing,Stipend,19.27760225377891,14,key,9,4,29,Financial Aid and FinancingStipend,Financial Aid and Financing
Financial Aid and Financing,,0,0,key,11,0,29,Financial Aid and Financing,Financial Aid and Financing
Financial Aid and Financing,,0,0,key,12,0,29,Financial Aid and Financing,Financial Aid and Financing
Living Wage,Wage,584.920604051543,100,key,1,7,7,Living WageWage,Living Wage
Living Wage,Employee,101.31689660612464,100,key,10,7,7,Living WageEmployee,Living Wage
Living Wage,Living,373.06958323405576,71,key,2,5,7,Living WageLiving,Living Wage
Living Wage,Worker,108.64679842810399,57,key,9,4,7,Living WageWorker,Living Wage
Living Wage,Attorney,230.81174721770384,43,key,3,3,7,Living WageAttorney,Living Wage
Living Wage,Contracted,230.81174721770384,43,key,4,3,7,Living WageContracted,Living Wage
Living Wage,Laid,171.87119782372343,43,key,5,3,7,Living WageLaid,Living Wage
Living Wage,Reconsider,124.33318646032606,29,key,6,2,7,Living WageReconsider,Living Wage
Living Wage,Ruling,124.33318646032606,29,key,7,2,7,Living WageRuling,Living Wage
Living Wage,Mandating,124.33318646032606,29,key,8,2,7,Living WageMandating,Living Wage
Living Wage,,0,0,key,11,0,7,Living Wage,Living Wage
Living Wage,,0,0,key,12,0,7,Living Wage,Living Wage
Minority Factuly/Staff,Faculty,105.41745043454857,100,key,1,116,116,Minority Faculty / Staff Recruitment and RetentionFaculty,Minority Faculty / Staff Recruitment and Retention
Minority Factuly/Staff,Staff,37.250384414576374,36,key,4,42,116,Minority Faculty / Staff Recruitment and RetentionStaff,Minority Faculty / Staff Recruitment and Retention
Minority Factuly/Staff,Recruitment,31.524050554949877,32,key,5,37,116,Minority Faculty / Staff Recruitment and RetentionRecruitment,Minority Faculty / Staff Recruitment and Retention
Minority Factuly/Staff,Position,73.8428218715239,30,key,3,35,116,Minority Faculty / Staff Recruitment and RetentionPosition,Minority Faculty / Staff Recruitment and Retention
Minority Factuly/Staff,Hiring,87.67513076101253,28,key,2,33,116,Minority Faculty / Staff Recruitment and RetentionHiring,Minority Faculty / Staff Recruitment and Retention
Minority Factuly/Staff,Retention,28.30896783392959,24,key,7,28,116,Minority Faculty / Staff Recruitment and RetentionRetention,Minority Faculty / Staff Recruitment and Retention
Minority Factuly/Staff,Tenure,29.44052228005215,9,key,6,11,116,Minority Faculty / Staff Recruitment and RetentionTenure,Minority Faculty / Staff Recruitment and Retention
Minority Factuly/Staff,Pool,26.607929474655094,9,key,8,11,116,Minority Faculty / Staff Recruitment and RetentionPool,Minority Faculty / Staff Recruitment and Retention
Minority Factuly/Staff,Retain,20.21237308427327,9,key,10,10,116,Minority Faculty / Staff Recruitment and RetentionRetain,Minority Faculty / Staff Recruitment and Retention
Minority Factuly/Staff,Track,22.372841664118592,7,key,9,8,116,Minority Faculty / Staff Recruitment and RetentionTrack,Minority Faculty / Staff Recruitment and Retention
Minority Factuly/Staff,,0,0,key,11,0,116,Minority Faculty / Staff Recruitment and Retention,Minority Faculty / Staff Recruitment and Retention
Minority Factuly/Staff,,0,0,key,12,0,116,Minority Faculty / Staff Recruitment and Retention,Minority Faculty / Staff Recruitment and Retention
Minority Student Recruitment,Student,35.74909753259895,100,key,6,122,122,Minority Student RecruitmentStudent,Minority Student Recruitment
Minority Student Recruitment,Black,49.21463291771337,60,key,3,73,122,Minority Student RecruitmentBlack,Minority Student Recruitment
Minority Student Recruitment,Graduate,115.76967234536701,37,key,1,45,122,Minority Student RecruitmentGraduate,Minority Student Recruitment
Minority Student Recruitment,Recruitment,56.39135584103442,30,key,2,37,122,Minority Student RecruitmentRecruitment,Minority Student Recruitment
Minority Student Recruitment,Virginia,37.95368698730267,20,key,5,25,122,Minority Student RecruitmentVirginia,Minority Student Recruitment
Minority Student Recruitment,Admission,44.26726552918265,13,key,4,16,122,Minority Student RecruitmentAdmission,Minority Student Recruitment
Minority Student Recruitment,Weekend,34.75786722712142,7,key,7,9,122,Minority Student RecruitmentWeekend,Minority Student Recruitment
Minority Student Recruitment,Percentage,32.57579560871959,7,key,8,8,122,Minority Student RecruitmentPercentage,Minority Student Recruitment
Minority Student Recruitment,Establishing,28.55897866119204,4,key,9,5,122,Minority Student RecruitmentEstablishing,Minority Student Recruitment
