YEAR,Title,Code,Count,filename_updated,DocTitle,Author,OrgType,NumSign,AuthSignType,DocSignAction,Demographic,YearOrder,details
1996,Muddy Floor Report 1996.doc,Minority Faculty Staff and Leadership Recruitment,2,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,Minority Student Recruitment,0,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,Reparations,0,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,Research or Coursework,0,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,School Climate,2,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,Study completed in response to numerous complaints of discrimination in the workplace
1996,Muddy Floor Report 1996.doc,Spaces and Places,0,Muddy Floor Report 1996.pdf,Muddy Floor Report,Office of Equal Opportunity,Faculty Group,,,Study completed in response to numerous complaints of discrimination in the workplace,University Office,1,Study completed in response to numerous complaints of discrimination in the workplace
2001,DiversityRoundtables.pdf,Abolition/ Defunding,0,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,Document for President Casteen
2001,DiversityRoundtables.pdf,Adding Courses,3,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,Document for President Casteen
2001,DiversityRoundtables.pdf,Community Labor or Partnership,2,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,Document for President Casteen
2001,DiversityRoundtables.pdf,Current Iniatives and Working Groups,0,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,Document for President Casteen
2001,DiversityRoundtables.pdf,Data Collection and Transparency,10,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,Document for President Casteen
2001,DiversityRoundtables.pdf,Diversity in Student Leadership,2,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,Document for President Casteen
2001,DiversityRoundtables.pdf,Financial Aid and Financing,6,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,Document for President Casteen
2001,DiversityRoundtables.pdf,Inclusive Anti Racist Curriculum Programs,0,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,Document for President Casteen
2001,DiversityRoundtables.pdf,Living Wage,0,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,Document for President Casteen
2001,DiversityRoundtables.pdf,Minority Faculty / Staff Recruitment,3,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,Document for President Casteen
2001,DiversityRoundtables.pdf,Minority Faculty Retention,16,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,Document for President Casteen
2001,DiversityRoundtables.pdf,Minority Faculty Staff and Leadership Recruitment,7,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,Document for President Casteen
2001,DiversityRoundtables.pdf,Minority Student Recruitment,1,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,Document for President Casteen
2001,DiversityRoundtables.pdf,Reparations,0,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,Document for President Casteen
2001,DiversityRoundtables.pdf,Research or Coursework,0,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,Document for President Casteen
2001,DiversityRoundtables.pdf,School Climate,17,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,Document for President Casteen
2001,DiversityRoundtables.pdf,Spaces and Places,10,DiversityRoundtables.pdf,We've Come a Long Way; We Have a Long Way to Go,Elected faculty members,Faculty Group,,,Document for President Casteen,University Office,1,Document for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Abolition/ Defunding,0,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Adding Courses,2,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Community Labor or Partnership,2,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Current Iniatives and Working Groups,2,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Data Collection and Transparency,3,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Diversity in Student Leadership,0,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Financial Aid and Financing,1,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Inclusive Anti Racist Curriculum Programs,2,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Living Wage,1,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Minority Faculty / Staff Recruitment,0,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Minority Faculty Retention,0,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Minority Faculty Staff and Leadership Recruitment,7,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Minority Student Recruitment,4,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Reparations,0,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Research or Coursework,0,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,School Climate,7,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,Report for President Casteen
2004,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Spaces and Places,1,Embracing_Diversity_FULL_FINALFinal_9 10 4 (4).pdf,Embracing Diversity in Pursuit of Excellence,President's Commission on Diversity and Equity,,,,Report for President Casteen,University Office,1,Report for President Casteen
2007,Audacious Faith II.doc,Abolition/ Defunding,0,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Adding Courses,8,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Community Labor or Partnership,11,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Current Iniatives and Working Groups,5,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Data Collection and Transparency,2,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Diversity in Student Leadership,0,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Financial Aid and Financing,6,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Inclusive Anti Racist Curriculum Programs,0,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Living Wage,0,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Minority Faculty / Staff Recruitment,0,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Minority Faculty Retention,4,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Minority Faculty Staff and Leadership Recruitment,7,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Minority Student Recruitment,11,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Reparations,0,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Research or Coursework,0,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,School Climate,1,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,12 Student Committee Members & 12 Organizations Signed
2007,Audacious Faith II.doc,Spaces and Places,2,Audacious Faith II.pdf,Audacious Faith II,Black Student Groups,Student Group,12 Student Committee Members,& 12 Organizations,Signed,Black Students,1,12 Student Committee Members & 12 Organizations Signed
2015,Towards A Better University.pdf,Abolition/ Defunding,1,Towards A Better University.pdf,Towards a Better University,Black Student Alliance,Student Group,30,Black Student Organizations,Endorsed,Black Students,1,30 Black Student Organizations Endorsed
2015,Towards A Better University.pdf,Adding Courses,3,Towards A Better University.pdf,Towards a Better University,Black Student Alliance,Student Group,30,Black Student Organizations,Endorsed,Black Students,1,30 Black Student Organizations Endorsed
2015,Towards A Better University.pdf,Community Labor or Partnership,1,Towards A Better University.pdf,Towards a Better University,Black Student Alliance,Student Group,30,Black Student Organizations,Endorsed,Black Students,1,30 Black Student Organizations Endorsed
2015,Towards A Better University.pdf,Current Iniatives and Working Groups,17,Towards A Better University.pdf,Towards a Better University,Black Student Alliance,Student Group,30,Black Student Organizations,Endorsed,Black Students,1,30 Black Student Organizations Endorsed
2015,Towards A Better University.pdf,Data Collection and Transparency,3,Towards A Better University.pdf,Towards a Better University,Black Student Alliance,Student Group,30,Black Student Organizations,Endorsed,Black Students,1,30 Black Student Organizations Endorsed
2015,Towards A Better University.pdf,Diversity in Student Leadership,2,Towards A Better University.pdf,Towards a Better University,Black Student Alliance,Student Group,30,Black Student Organizations,Endorsed,Black Students,1,30 Black Student Organizations Endorsed
2015,Towards A Better University.pdf,Financial Aid and Financing,3,Towards A Better University.pdf,Towards a Better University,Black Student Alliance,Student Group,30,Black Student Organizations,Endorsed,Black Students,1,30 Black Student Organizations Endorsed
