demand_id,Title,Place,Text,Year,YEAR,DemandNum,PageNum,DocTitle,Author,OrgType,NumSign,AuthSignType,DocSignAction,Demographic
55,1987 an-audacious-faith.pdf,Page 1: 0-452,"-157-cultura and issues of relevance to black students; (5)  participation, in conjunction with the UVA Alumni Association, in the development and maintenance of a b'lack alumni group; (6)  participation in the development and maintenance of a'black parents organization; (7)  participation in the development of University attempts to foster closer relationships wi ttl public school systems and with the black community of Charlottesvi 11e-Albemar1e.·",1987,1987,3,0,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
56,1987 an-audacious-faith.pdf,Page 1: 4-1114,"IV. RECRUITMENT AND RETENTION OF BLACK FACULTY STATEMENT OF NEED: Overwhelming agreement exists in the University community that the pi vota 1 e lement;n br·; ngi ngabout genui ne and 1 asting integra tro.n must be thes'uccessful·recruitment and retention of black facultY'members. The attraction of a ""critical mass"" of black faculty members--thatis. recruitment in suff; ci ent numbers   in all academic areas ,and on all levels toestabl i sh               as a permanent. integral feature of University life--will provide several major: beneflts •. First, it will expose all students to diverse perspectives in the' c1 assroom ..and prov; de a broadened educati ona1 experi ence . Second, it wi 11 si gna It.hedeve1opment of a more heterogeneous. we 1comi ngatmosphere at the Unhers i ty that wi 11 ; in turn. help attract and retain a more diverse student body at the undergraduate. graduate, and professional school levels. as well as a more diverse support·staff. Finally. it will contribute a broad. vital social and cultural context that will enrich the lives of all members of the University community",1987,1987,4,0,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
57,1987 an-audacious-faith.pdf,Page 1: 4-370,"long time a participant in racial discrimination. Since blacks were excluded from the University of Virginia for so long, the University has an obligation that goes beyond being color-blind. It has rather an affirmative duty to repair the lingering effects of past discrimination and to assure that blacks are a part of the community as teachers as well as students.",1987,1987,5,0,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
58,1987 an-audacious-faith.pdf,Page 1: 21-1921,"ESTABLISHMENT OF A MONITORING MECHANISM TO ENSURE ACTION  There se.msno reason why. from a constitutional point of view. the desi.re tu make.the.campus a more, representative.andrea 1 i sti c 'envi ronment may not stand equal to th'e goals of overcomtngpast di scrimi nati on or i ncreasi ng minorityparticipation in the mainstream of American life. In fact                         closely and logically related; the future of opportunities for minorities depends 'in large part upon the sensitivity and the values of whites who will continue to make up the majority of our society for the foreseeable future. Thus 1n some respects the desire to improve the educati Ona1 'expert enc'e for the present gen'erati on of  white..,.Ang10 ,students may really be the most sUbstantial           of all.  Robert M: O'Neil Discriminating Against Discri mi nati on (1975) . As discussed in previous sections of this report. over the years the University of          has received-numerous cogently argued reports prepared by well-intentioned. duly investedcomm1ttees that have recommended greater Uni vers'i ty efforts to wel come b1 ack stUdents and faculty and to promote integration. After studying 'the record. the Task Force on Afro-Ameri can Affai rs must sadly conc1 ude th.at. despi te the good will of many individuals, all too often the University's response to these recommendations has been hesitant. ineffective. and, at times. unconvincing. We believe that it is fair to characterize the University's posture over the last two decades toward promoting genuine integration--as opposed to legally mandated desegregation--as passive rather than active. One of the primary reasons that the results have been as they are is the fact that the University has neglected to establish an authoritative. ongoing mechanism to oversee integration efforts and to hold those responsible for progress accountable.",1987,1987,6,1,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
59,1987 an-audacious-faith.pdf,Page 1: 22-281,"ENHANCEMENT OF EFFORTS TO RECRUIT BLACK FACULTY MEMBERS' Objective: To increase the number of black faculty candidatesintere""sted in the lIni vers i ty of Vi rgi nfa>by a11 !departments and schools undertaking more aggressi veand innovative recru1tment efforts",1987,1987,7,1,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
60,1987 an-audacious-faith.pdf,Page 1: 22-328,PROVISION OF INCENTIVES TO ACADEMIC UNITS TO PROMOTE THE HIRING OF BLACK FACULTY Objective: To increase the number of black instructional faculty in all sch091s and departments by maintaining a University pool of faculty positions to be allocated to academic units that sutcessfully recruit black scholars.,1987,1987,8,1,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
61,1987 an-audacious-faith.pdf,Page 1: 23-264,IMPROVEMENT OF ACADEMIC ADVISING AND DEVELOPMENT OF A MENTORING PROGRAM Objective: To increase the academic success rate of black students by prov; di ng C1 oser faculty attenti on to the criti ca1 areas of . academic advising andnfentoring.,1987,1987,9,1,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
62,1987 an-audacious-faith.pdf,Page 1: 23-1473,"COORDINATION AND EVALUATION OF TUTORIAL PROGRAMS Objective: To centra11 ze the management, overs; ght, and coordi nati on responsi bil1ties for tutor1.a 1 programs under the P.rovost. Strategic Rationale/Program Description: A large number of students throughout the University, including (but by no means limi ted to) those in the Trans; tion Program. desi re tutorial assistance from time to time. Tutorial services of one sort or another are presently provided by various Schools and departments, by student honor societies and service groups, and by the Office of Afro-American Affairs and the Athletic Department. Still ether offices, such as the Counse li ng Center', offer important sess ions on academi c ski 11 s development. These services, many of which have been developed on an ad hQ.c.:bas1S, have never been fully and continually inventoried;, nor are they coordinated by a single, well-identified administrative unit. As a result, many students, faculty, and admi nistrators are not well informed about the tutorial programs that now exist. Moreover, no formally sanctioned mechanism exists to evaluate the nature and quality of these dispersed ·programs, to assess. particular students' needs, or to identify gaps and duplications 1n services. It is .fair to say that tutorial programs--an essential and valuable resource fora significant portion of the student body--have been relatively unmanaged from an institutional perspective.",1987,1987,10,1,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
63,1987 an-audacious-faith.pdf,Page 1: 24-1589,"COORDINATION AND ENHANCEMENT OF THE DIAGNOSIS AND REMEDIATION OF LEARNING DISABILITIES Obj ecti ve: . To improve the University's ability to diagnose students'· 1 earni ng di saM 1 i ti es, and to coordi nate efforts to overcome them more closely with the academic units. Strategic Rationale/Program Descriptlon: The major function of the Learning Needs and Evaluation Center, which operates under the purview of the Vice President for Student Affairs, 1s to test students of all races who may have handi cappl ng tond; ti ons or special lear""ning needs and to make""recommendations to the faculty as to what adjustments might ""be necessary to accommodate these Conditions and needs. Clearly thh function should be regarded as an importa.ntelement 1n the University's academic support program, and one that relates closely to the other academic support services that should fall under the supervision of the Provost (e.g., Transition Program, tutorial system). The Committee on Student Development Services in 1986 recommended the following: All special education programs. particularly the Learning Needs and Evaluation Center, should be better categorized. coordinated. communicated and advertised. Each group of programs with similar academic purposes. such as remedial instruction. instruction for the handicapped or tutorial supplements to curricular programs. should be placed under the vice president for academic affairs (i.e., the Provost) who should postulate a University programwhich is well understood and taken advantage of by school consti tue-nci es.",1987,1987,11,2,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
64,1987 an-audacious-faith.pdf,Page 1: 24-369,ENHANCEMENT OF THE RELATIONSHIP BETWEEN THE UNIVERSITYANO THE BLACK COMMUNIiY OF CHARLOTTESVILLE-ALBEMARLE Objective: TO reduce the di stance between the black.communictyof Charlottesville-Albemarle and the University. to'sponsor events beyond the means of either body separately. and to share the expertise of the University with the community.,1987,1987,12,2,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
65,1987 an-audacious-faith.pdf,Page 1: 24-296,CREATION OF THE OFFICE OF ASSOCIATE PROVOST FOR STUDENT ACADEMIC SERVICES Objective: To provide the administrative mechanism necessary to ensure effective planning. delivery. and coordination of academic-support services to all students. regardless of race. who need them.,1987,1987,13,2,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
66,1987 an-audacious-faith.pdf,Page 1: 24-298,"CREATION OF THE OFFICE OF ASSOCIATE PROVOST FOR          ACADEMIC SERVICES Objective: To provide the administrative mechanism necessary to ensure effective planning. delivery. and coordination of academic-support services to all students. regardless of race, who .need them.",1987,1987,14,2,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
67,1987 an-audacious-faith.pdf,Page 1: 27-1238,"The development of individual school plans for recruitment and retentio'n of black. graduate students, the effort on the part of the University's sci encedepartments to seek. outsi de fellowship fundi ng, and the UniVersity's leadership role in a campaign to win increased state support for bl ack. graduate students will doubt1 essentail a reori entation of some priorities, but should not require incremental resources. The provision by the University of graduate fellowships for black. students will necessitate a conside'rablefinanci:a1 commitment. The Task. Force recommends expansion of the proposed Student Council-initiated match; ng program to encompass a total of 25 award:s, whi chwill require a total of $187,500 in University support and $187,500 in endowment.... generated income annually once the program is fully operational. Certainly, a substantial period of time will be needed to build sufficient endoWln'ent (a miniinumof $2.5 million) to fund a program of this dimension fully. In the meantime, the UniVersity should make available a minimum of two and a half new $15,000 fellowships for black graduate students annuallY to supplement the two and a half fellowships received from the state.",1987,1987,15,2,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
68,1987 an-audacious-faith.pdf,Page 1: 36-449,"The President should identify and allocate the resources necessary to enhance both merit-and            scholarships for       students. The Vice President for, Development, in conjunction with the Office of the President, should initiate a plan to convince both the               and pote,n,ti al donors of the enormous prom; se of a matching mi nor; ty-student scholarship, program in the Eminent Scholar model.",1987,1987,16,3,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
69,1987 an-audacious-faith.pdf,Page 1: 55-1448,"The Task Force on Afro-American Affairs recommends that the overall mission of the Office of Afro-American be redefined in accordance with the fundamental strengths of the office and the needs articulated by many black students' and alumni. Most basically. it should be the mission of the Office of Afro-American Affairs to help provide a supportive environment for Afro-American students at the University of Virginia and to enhance the sensitivity of the larger community to the needs, interests. and culture of Afro-American students. The Task Force views this mission as one that will help provide the counseling and social and cultural l.nfrastructure necessary to enhance the prospects for success of black students at the University and to improve retention. More specifically. the following responsibilities should flow to the office and to its senior administrator. the Dean of Afro-Amedcan Affairs·: (1)  provision of personal counseling to students who desire such services and direction of students in need of additional services to appropriate University resources; (2)  provision of information and advice to blacK student  organizations;  (3)  prevention and resolution of potential inter-racial tensions at the University by helping to open communication channels between students. faculty. and administrators; (4) education of the University community regarding Afro-American",1987,1987,17,3,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
70,1987 an-audacious-faith.pdf,Page 1: 82-318,"To alleviate this problem, the Task Force recommends that the program be allotted the funds to hire at least one instructor or lecturer--perhaps an advanced graduate student specializing in Afro-American Studies--to teach the course(s).",1987,1987,18,3,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
71,1987 an-audacious-faith.pdf,Page 1: 122-394,STUDY OF THE APPLICATION OF THE HONOR SYSTEM TO DETERMINE IF IT PROVIDES EQUAL TREATMENT TO ALL RACIAL GROUPS Objective: To address straightforwardly the perception of many black students that the Honor System has not been evenhanded in its treatment of all racial groups.,1987,1987,19,3,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
72,1987 an-audacious-faith.pdf,Page 1: 140-977,"th'e Task Force has been reminded that blacK students' feelings of loneliness arid isolation in Charlottesville are increased by the utter lack of radio programmi ng ofn;usi c i nteresti ng to them. If this is pe!""haps not the most cri tH:a 1 probl em faci ng b1 ack. students tit at 1 east has the' vi rtue that it seems solvable; let the program directors of WTJU and WUVA reflect on thei r ph.y 1 i st with the idea that it shoul d reach aSlllany members of the stUdent body as possible. We encourage the program directors of these two stations, so closely identified with the University of Virginia. to form an advisory group from the black population to advise them on effective programming for black listeners. We would encourage those radio stations in the Charlottesville area not identified with the University to do 1 i kewi sea",1987,1987,20,3,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
73,1987 an-audacious-faith.pdf,Page 1: 170-1096,"ENHANCEMENT OF ACTIVITIES TO INCREASE THE INTEREST OF BLACK STUDENTS IN ATTENDING THE UNIVERSITY OF VIRGINIA Objective: To 'increase the number of black students attending the University of Virginia. Strategic                               The need to increase the number of black undergraduates at the University of Virginia must be made clear to all          of the University community. As the flagship of the Commonwealth's system of higher education. this institution must strive to reflect the social composition of the citizenry that supports it. As a white professor reminded participants at the Task Force's open faculty forum, a forward-looking University must do all it can to work against the social and racial polarization that endangers 1t and that is likely to worsen with demographic change in the de.cades ahead. unless al.l segments of our soci ety receive the ed,ucati ona1 opportuni ti es that they mer; t:",1987,1987,21,4,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
74,1987 an-audacious-faith.pdf,Page 1: 214-548,ESTABLISHMENT OF THE.POSITION OF ADVISOR TO THE PRESIDENT ON MINORITY AFFAIRS Obiective: To ensure that theUniversity's overriding policy objective of promoting genuine integration remains at the forefront for the institution's senior administrative officers •. and to provide ongoing advice on how best to work toward that objective.,1987,1987,22,4,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
75,1987 an-audacious-faith.pdf,Page 1: 223-652,ENHANCEMENT OF THE AFRO-AMERICAN AND AFRICAN STUDIES PROGRAM Objectives: To affirm the significance of the scholarly examination of the African and Afro-American experiences; to               understanding of the African and Afro-American perspectives to a broad section of the community; and to         a ready source of expert advice on scholarly materials for other branches of the University and for secondary school systems.,1987,1987,23,4,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
76,1987 an-audacious-faith.pdf,Page 1: 253-1279,The Task For'ce on Afro-American Affairs agrees with the Reaffirmation Committee. but would add the Board of Vi.sitors as an additional voice that must demonstrate unequivocal leadership in endorsing and forwarding a policy of genuine integration. Consequently. the Task Force makes the following policy recommendation: THE PRESIDENT'. AND THE BOARD OF VISITORS SHOULD JOINTLY DECLARE THAT IT IS THE ACTIVE POLICY OF THE UNIVERSITY OF VIRGINIA TO WELCOME BLACKS ON AN EQUAL BASIS    FULL PARTICIPATION AT ALL LEVELS IN. THE MAINStREAM OF ALL UNIVERSITY ENDEAVORS. The TaskForce believes that such a policy statement should be issued by the President and Board of Visitors without delay. The leadership of this institution must assert its unflagging commitment to a policy of. genuine integration if the 21 spectfic. action-oriented recommendations that follow in the body of this report are to be implemented. Furthermore. concrete steps necessary to achieve this policy must be begun. Words by themselves will be insufficient;,1987,1987,24,4,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
77,1987 an-audacious-faith.pdf,Page 1: 267-1450,"the Task Force recommends that     University designate 1988-89 as a ""Theme Yearn for the consideration of this vital issue on an institution-wide basis. We encourage the participation of all academic departments and all student organizations and publications in Theme Year events. 'For example. Thought11nes (the UVA journal of opinion). Oculus. The Advocate. ,The Declaration. The Cavalier Daily. The Un; vers; ty Journal. Seasons. the Monroe Hi 11 Coll ege NewS1 etter. the various school student pub1icat;ons--in s.hort. the whole panop1y;of university publications dealing with politics and philosophy in the broadest sense--can be encouraged to address this issue. Consistent with the Theme Year. the Jefferson Uterary and Debating Society and other organizations might take affirmative action as a topic for continuing diScussion. We also recommend to all bodies that sponsor visiting lecturers. such as the University Committee on Special Lectures, the Women I s Artists and Scholars Seri es. the Mn 1er Center. the' facu1 ty forum. the Rushton lectures, etc .• that affirmative action would be a significant topic. ana knowledgable lecturers on this topic would be welcome.",1987,1987,25,4,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
78,1987 an-audacious-faith.pdf,Page 1: 279-1005,"A second recommendation draws on the cooperative spirit of the first. A formal and ong01ng Artist and Lecture Series in Afro-American and African Culture jointly co-sponsored by the program and office would. most importantly. provide a superb intellectual and educational experience for , , the University. In addition to single or very short-term events. this series should also coordinate and help to sponsor with appropriate university departments or programs a scholar-or artist-in-residence for a more extended term. For example. the Drama Department in conjunct10n with this series could bring in a black playwright. such as Amiri Baraka. for a semester or a year to teach. offer workshops. and direct. a major production",1987,1987,26,5,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
79,1987 an-audacious-faith.pdf,Page 1: 292-563,The TasK Force suggests that the President articulate the institutional commitment necessary to initiate an incentive approach to encourage recrui tment of bl ack. faculty. The polt cy shou1 d then-be administered by the Provost and the Vice President for Health Affairs.,1987,1987,27,5,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
80,1987 an-audacious-faith.pdf,Page 1: 319-1044,"Another recommendation flowing primarily from student concern is the need to implement a thorough, critical, and ongoing review process for the entire program. Overseen by the students and faculty who are members of the program's Steering Committee, such an internal mechanism would allow all students and faculty associated with the program to make suggestions and create a sense of greater involvement. The recent conference, ""Black Studies at UVA: A Reflective Celebrationll (held on April 10, 1987),-gave all concerned an obviously much needed public forum to engage in this kind of activity. This""recommendation. however, should not be construed as calling for a public review, rather an institutionalized. in-house one.",1987,1987,28,5,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
81,1987 an-audacious-faith.pdf,Page 1: 320-677,"We urge that the Culture Fest. first organized for Parents' Weekend in fall 1986. be made a continuing feature of the University calendar and that a portion; of the'expenses of that event be guaranteed by the University. perhaps as line items in the budgets of tha International Office, the Luther P; Jackson Cultural Center. and the Dean of Students Office.",1987,1987,29,5,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
82,1987 an-audacious-faith.pdf,Page 1: 342-1154,ENHANCEMENT OF EFFORTS TO RETAIN BLACK FACULTY Objective: To retai n bl ack faculty members who have been              recruited. Strategi c Rati ona1e/Program· Descri pti on: The successful recruitment of black scholars will be of little lasting benefit unless the institution undertakes strenuous efforts to retain them. Over tne past several years. the University has experienced considerable difficulty in retaining blacks within its faculty ranks and in building a stable nucleus of black faculty. In some cases. black instructors have been hired on   short-term. non-tenure-track basis with no prospect for permanent employment. Other black junior faculty members      held              positiOns but have perceived the likelihood of receiving a favorable tenure review as so doubtful that they have chosen,1987,1987,30,5,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
83,1987 an-audacious-faith.pdf,Page 1: 393-994,"It is. therefore. i ncumbe'nt upon the University to provide the necessary resources and support structure to enable all students whom lt'admits and whom it is charged with educating to have the opportunity to succeed. Consequently, the development and maintenance of an effect;ve'academ;c support system must be a major responsibility of all faculty members and administrators at'the University of Virginia. Such a system begins in the classroom and extends to a series of high-quality special services that the University should willl ngly provide for those students who may have parti cul ar needs.",1987,1987,31,6,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
84,1987 an-audacious-faith.pdf,Page 1: 395-1436,"Enhancement of the academic units' efforts in support of the black-student recruitment activities of the Admissions Office should entail a reori entati on of pri ori ti es but no incremental resources. Moreextens i ve. organization and support of the efforts of black alumni and current black students; n behalf of the Admi ssions Office wi 11 requi re a modes'tincrease in budget for that office. The Task Force estimates that greater clerical and organizational support for a proposed Alumni Advisory Committee and for the existing Minority Students Admissions Committee will require approximately $20,000 annually in enhanced resources for the Admissions Office.          Initiators of Action: The Provost and the Vice President for Health Affairs, in collaboration with the Dean of Admissions, should initiate efforts to encourage greater involvement by the academic units. in the black-student recruitment process. The Dean of Admissions should initiate efforts to ·use the help of black and white alumni and current black students more",1987,1987,32,6,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
85,1987 an-audacious-faith.pdf,Page 1: 430-650,"IMPLEMENTATION OF DISCRIMINATION COMPLAINT PROCEDURES Obj ecti ve: To ensure that comprehe'nsive and coherent 'University-wide discrimination           procedures are availab1e""toJ11 segments of the University community.",1987,1987,33,6,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
86,1987 an-audacious-faith.pdf,Page 1: 447-727,"ESTABLISHMENT OF A COMMITTEE TO ASSURE FULL USE OF THE LUTHER P. JACKSON CULTURAL CENTER BY UNIVERSITY DEPARTMENTS, INSTITUTES, AND PROGRAMS Objecthe: To assure wide access for the University community to research and cultural material on the African and Afro-American experience.",1987,1987,34,6,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
87,1987 an-audacious-faith.pdf,Page 1: 488-823,PROVIDE TRAINING SESSIONS FOR FACULTY ON THE CLASSROOM' EXPERIENCE OF BLACK AND OTHER MINORITY STUDENTS IN A PREDOMINANTLY WHITE MILIEU Objective: To make the classrOom environment more comfortable and effective for both          and faculty by reducing inadvertent distraction arising from awkward situations with racial implications.,1987,1987,35,6,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
88,1987 an-audacious-faith.pdf,Page 1: 490-779,DEVELOPMENT OF SUSTAINED LINKS BETWEEN THE UNIVERSITY AND TARGET        SCHOOL.$YSTEMS Objective: To increase the pool of black students in Virginia who wish to attend college in general and the University of Virginia in particular and to enhance the academic preparation of those students.,1987,1987,36,7,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
89,1987 an-audacious-faith.pdf,Page 1: 494-838,The Provost should assume the responsibility for initiating this recomendati on. However. to ensure thei nvo1vement of facu lty strongt encouragement from the President. as well as from the deans of all schools. is essential. The President should            as policy the requirement that all teaching assistants participate in these workshops.,1987,1987,37,7,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
90,1987 an-audacious-faith.pdf,Page 1: 503-1843,"The Task Force suggests that the President 'appoint a standing Committee on Integration, as recommended by the Self-Study Steering Committee, that reports tQ him directly. The clear mandate of that committee should be to study and evaluate the activities under'taken by all parties concerned with the implementation of the recommendations contained within this report and any others the President"" deems helpful to further the policy goal outlined in Section III: welcome blacks on an equal basis to full participation at all levels in the mainstream of all University endeavors. The committee should report its findings to the President at 1 east semi-annually regarding the progress bei ng made wi th respect to each of the recommendations cited in this report. In an effort to present evidence that would permit the President to appraise performance judiciously. the committee should highlight those offices and individuals whose performance is outstanding as well as those who fall short. Meaningful progress toward the pivotal policy goal recommended by the Task Force will require recognition for positive achievements and penalties for lack of performance. The Committee on Integration should pay particular attention to evaluating the efforts used to fill senior administrative positions throughout the University as they come open.",1987,1987,38,7,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
91,1987 an-audacious-faith.pdf,Page 1: 536-730,EXPANSION OF THE NUMBER OF BLACK GRADUATE STUDENTS AT THE UNIVERSITY OF VIRGINIA Objective: To increase the number of black graduate students who attend the University of Virginia in all fields.,1987,1987,39,7,An Audacious Faith,Task Force on Afro-American Affairs,Faculty and Student Group,16,Committee members,Composed for UVA President and Board of Visitors,University Office
